title,rating,ratingLevel,ratingDescription,release year,user rating score,user rating size
Life in Pieces,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,68.0,80
13 Reasons Why,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,99.0,80
Greenleaf,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,62.0,80
Bones,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,97.0,80
Dexter,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2013,95.0,80
Leverage,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2012,86.0,80
Grey's Anatomy,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,98.0,80
Lie to Me,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2010,89.0,80
Prison Break,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2008,98.0,80
NCIS,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,97.0,80
Burn Notice,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,85.0,80
Breaking Bad,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2013,97.0,80
Criminal Minds,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,98.0,80
White Collar,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2014,93.0,80
Luther,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,69.0,80
Hawaii Five-0,TV-14,"dialogue, language, sexual situations and violence",90,2016,96.0,80
House of Cards,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,91.0,80
Last Man Standing,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2015,97.0,80
Revenge,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2015,84.0,80
Person of Interest,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,93.0,80
Scandal,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,92.0,80
Touch,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,68.0,80
Sherlock,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,95.0,80
Breakout Kings,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,88.0,80
The Client List,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,92.0,80
Arrow,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,96.0,80
Longmire,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,92.0,80
The Fall,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,61.0,80
Death in Paradise,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,77.0,80
Marvel's Agents of S.H.I.E.L.D.,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2016,89.0,80
Crossing Lines,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,66.0,80
London Has Fallen,R,strong violence and language throughout,100,2016,96.0,80
Gotham,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,85.0,80
Better Call Saul,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,95.0,80
How to Get Away with Murder,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,95.0,80
Narcos,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,94.0,80
Rosewood,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,81.0,80
Quantico,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,88.0,80
Limitless,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,84.0,80
Travelers,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,86.0,80
The Doctor Blake Mysteries,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,57.0,80
The Office (U.S.),TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,97.0,80
Grey's Anatomy,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,98.0,80
Law & Order: Special Victims Unit,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,97.0,80
Lie to Me,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2010,89.0,80
Prison Break,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2008,98.0,80
90210,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,62.0,80
Gossip Girl,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,96.0,80
How I Met Your Mother,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2014,94.0,80
Parks and Recreation,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,94.0,80
The Vampire Diaries,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2017,91.0,80
Criminal Minds,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,98.0,80
Friends,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2003,98.0,80
The West Wing,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2005,79.0,80
Parenthood,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2014,79.0,80
White Collar,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2014,93.0,80
Blue Bloods,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,95.0,80
House of Cards,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,91.0,80
Pretty Little Liars,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,96.0,80
The Killing,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2014,73.0,80
Shameless (U.S.),TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,97.0,80
New Girl,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,91.0,80
Revenge,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2015,84.0,80
Person of Interest,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,93.0,80
Once Upon a Time,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2016,98.0,80
Scandal,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,92.0,80
Forensic Files,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2011,88.0,80
Sherlock,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,95.0,80
The Client List,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,92.0,80
Orange Is the New Black,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,98.0,80
Black Mirror,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,80.0,80
Bates Motel,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,83.0,80
The Fall,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,61.0,80
The Blacklist,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,96.0,80
Madam Secretary,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,70.0,80
Sense8,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,81.0,80
Rosewood,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,81.0,80
The Great British Baking Show,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2016,94.0,80
Quantico,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,88.0,80
Limitless,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,84.0,80
American Crime Story: The People v. O.J. Simpson,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,79.0,80
Santa Clarita Diet,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,82.0,80
13 Reasons Why,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,99.0,80
The Doctor Blake Mysteries,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,57.0,80
Greenleaf,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,62.0,80
The Nightmare Before Christmas,PG,some scary images,60,1993,84.0,80
Scooby-Doo,PG,"some rude humor, language and some scary action",60,2002,86.0,80
Chicken Little,G,General Audiences. Suitable for all ages.,35,2005,92.0,80
Star Wars: The Clone Wars,PG,"sci-fi action violence throughout, brief language and momentary smoking",60,2008,57.0,80
Coraline,PG,"thematic elements, scary images, some language and suggestive humor",60,2009,95.0,80
Cars Toons: Mater's Tall Tales,TV-G,Suitable for all ages.,35,2010,74.0,80
Star Wars: The Clone Wars,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2014,93.0,80
Phineas and Ferb,TV-G,Suitable for all ages.,35,2012,89.0,80
The Batman,TV-Y7,Suitable for children ages 7 and older,41,2007,77.0,80
Justice League,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2003,66.0,80
Mighty Morphin Power Rangers,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2010,73.0,80
Young Justice,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2012,71.0,80
All Hail King Julien,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,71.0,80
Trollhunters,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,83.0,80
The Jungle Book,PG,for some sequences of scary action and peril,60,2016,97.0,80
The Angry Birds Movie,PG,for rude humor and action,60,2016,92.0,80
Talking Tom and Friends,TV-G,Suitable for all ages.,35,2016,61.0,80
The Nightmare Before Christmas,PG,some scary images,60,1993,84.0,80
An Extremely Goofy Movie,G,General Audiences. Suitable for all ages.,35,1999,67.0,80
Scooby-Doo,PG,"some rude humor, language and some scary action",60,2002,86.0,80
The Iron Giant,PG,fantasy action and mild language,60,1999,83.0,80
Star Wars: The Clone Wars,PG,"sci-fi action violence throughout, brief language and momentary smoking",60,2008,57.0,80
Cars Toons: Mater's Tall Tales,TV-G,Suitable for all ages.,35,2010,74.0,80
The Batman,TV-Y7,Suitable for children ages 7 and older,41,2007,77.0,80
Justice League,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2003,66.0,80
Mighty Morphin Power Rangers,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2010,73.0,80
LEGO Ninjago: Masters of Spinjitzu,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2015,67.0,80
Goosebumps,TV-Y7,Suitable for children ages 7 and older,41,1998,88.0,80
Pok̩mon: Indigo League,TV-Y,Suitable for all ages.,10,2000,74.0,80
Ratchet and Clank,PG,action and some rude humor,60,2016,74.0,80
All Hail King Julien,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,71.0,80
The Adventures of Puss in Boots,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,78.0,80
Trollhunters,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,83.0,80
Pok̩mon: XY,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2015,56.0,80
The Little Rascals,PG,some rude dialogue,60,1994,86.0,80
Flubber,PG,slapstick action and mild language,60,1997,83.0,80
Tarzan,G,General Audiences. Suitable for all ages.,35,1999,95.0,80
The Emperor's New Groove,G,General Audiences. Suitable for all ages.,35,2000,95.0,80
Scooby-Doo,PG,"some rude humor, language and some scary action",60,2002,86.0,80
Lilo & Stitch,PG,mild sci-fi action,60,2002,95.0,80
Scooby-Doo 2: Monsters Unleashed,PG,"some scary action, rude humor and language",60,2004,82.0,80
The Pacifier,PG,"action violence, language and rude humor",60,2005,91.0,80
Chicken Little,G,General Audiences. Suitable for all ages.,35,2005,92.0,80
Bee Movie,PG,mild suggestive humor,60,2007,94.0,80
Kung Fu Panda,PG,sequences of martial arts action,60,2008,91.0,80
Coraline,PG,"thematic elements, scary images, some language and suggestive humor",60,2009,95.0,80
Cars Toons: Mater's Tall Tales,TV-G,Suitable for all ages.,35,2010,74.0,80
Phineas and Ferb,TV-G,Suitable for all ages.,35,2012,89.0,80
Super Why!,TV-Y,Suitable for all ages.,10,2015,68.0,80
Jessie,TV-G,Suitable for all ages.,35,2015,88.0,80
Lab Rats,TV-Y7,Suitable for children ages 7 and older,41,2016,85.0,80
Masha and the Bear,TV-Y,Suitable for all ages.,10,2013,81.0,80
Pocoyo,TV-Y,Suitable for all ages.,10,2007,67.0,80
Home,PG,mild action and some rude humor,60,2015,94.0,80
Dragons: Race to the Edge,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,88.0,80
Little Einsteins,TV-Y,Suitable for all ages.,10,2007,70.0,80
Hotel Transylvania 2,PG,"some scary images, action and rude humor",60,2015,93.0,80
Dawn of the Croods,TV-Y7,Suitable for children ages 7 and older,41,2017,72.0,80
Goosebumps,PG,"scary and intense creature action and images, and for some rude humor",60,2015,90.0,80
Kung Fu Panda 3,PG,martial arts action and some mild rude humor,60,2016,92.0,80
Zootopia,PG,"some thematic elements, rude humor and action",60,2016,97.0,80
The Jungle Book,PG,for some sequences of scary action and peril,60,2016,97.0,80
Open Season: Scared Silly,PG,rude humor and some action,60,2015,72.0,80
The Angry Birds Movie,PG,for rude humor and action,60,2016,92.0,80
Alice Through the Looking Glass,PG,fantasy action/peril and some language,60,2016,96.0,80
Finding Dory,PG,mild thematic elements,60,2016,98.0,80
Goldie & Bear,TV-Y,Suitable for all ages.,10,2016,77.0,80
Talking Tom and Friends,TV-G,Suitable for all ages.,35,2016,61.0,80
The Little Rascals,PG,some rude dialogue,60,1994,86.0,80
Antz,PG,moderate adult language and intense action,60,1998,80.0,80
Tarzan,G,General Audiences. Suitable for all ages.,35,1999,95.0,80
An Extremely Goofy Movie,G,General Audiences. Suitable for all ages.,35,1999,67.0,80
Chicken Run,G,General Audiences. Suitable for all ages.,35,2000,80.0,80
The Emperor's New Groove,G,General Audiences. Suitable for all ages.,35,2000,95.0,80
Lilo & Stitch,PG,mild sci-fi action,60,2002,95.0,80
Spy Kids 3: Game Over,PG,action sequences and peril,60,2003,64.0,80
Annie,PG,adult content and mld violence,60,1982,68.0,80
Mulan 2,G,General Audiences. Suitable for all ages.,35,2004,85.0,80
Chicken Little,G,General Audiences. Suitable for all ages.,35,2005,92.0,80
Lilo & Stitch 2: Stitch Has A Glitch,PG,some mild action,60,2005,85.0,80
Bee Movie,PG,mild suggestive humor,60,2007,94.0,80
Kung Fu Panda,PG,sequences of martial arts action,60,2008,91.0,80
Cars Toons: Mater's Tall Tales,TV-G,Suitable for all ages.,35,2010,74.0,80
Super Why!,TV-Y,Suitable for all ages.,10,2015,68.0,80
DreamWorks Shrek's Swamp Stories,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2008,56.0,80
The Magic School Bus,TV-Y,Suitable for all ages.,10,1997,81.0,80
Goosebumps,TV-Y7,Suitable for children ages 7 and older,41,1998,88.0,80
Masha and the Bear,TV-Y,Suitable for all ages.,10,2013,81.0,80
Pocoyo,TV-Y,Suitable for all ages.,10,2007,67.0,80
Sofia the First,TV-Y,Suitable for all ages.,10,2015,82.0,80
Barbie Life in the Dreamhouse,TV-G,Suitable for all ages.,35,2012,85.0,80
Paddington,PG,mild action and rude humor,60,2014,70.0,80
All Hail King Julien,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,71.0,80
Minions,PG,action and rude humor,60,2015,96.0,80
Dragons: Race to the Edge,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,88.0,80
Little Einsteins,TV-Y,Suitable for all ages.,10,2007,70.0,80
Hotel Transylvania 2,PG,"some scary images, action and rude humor",60,2015,93.0,80
The Little Prince,PG,mild thematic elements,60,2015,71.0,80
Zootopia,PG,"some thematic elements, rude humor and action",60,2016,97.0,80
The Jungle Book,PG,for some sequences of scary action and peril,60,2016,97.0,80
Open Season: Scared Silly,PG,rude humor and some action,60,2015,72.0,80
The Angry Birds Movie,PG,for rude humor and action,60,2016,92.0,80
Finding Dory,PG,mild thematic elements,60,2016,98.0,80
Goldie & Bear,TV-Y,Suitable for all ages.,10,2016,77.0,80
Talking Tom and Friends,TV-G,Suitable for all ages.,35,2016,61.0,80
Cool Runnings,PG,Parental guidance suggested. May not be suitable for children.,60,1993,81.0,80
Homeward Bound: The Incredible Journey,G,General Audiences. Suitable for all ages.,35,1993,96.0,80
The Little Rascals,PG,some rude dialogue,60,1994,86.0,80
Anastasia,G,General Audiences. Suitable for all ages.,35,1997,93.0,80
Tarzan,G,General Audiences. Suitable for all ages.,35,1999,95.0,80
The Emperor's New Groove,G,General Audiences. Suitable for all ages.,35,2000,95.0,80
Scooby-Doo,PG,"some rude humor, language and some scary action",60,2002,86.0,80
Lilo & Stitch,PG,mild sci-fi action,60,2002,95.0,80
Missione Hamburger,PG,"language, some comic violence and mild sex-related humor",60,1997,75.0,80
Chicken Little,G,General Audiences. Suitable for all ages.,35,2005,92.0,80
Curious George,G,General Audiences. Suitable for all ages.,35,2006,55.0,80
Bee Movie,PG,mild suggestive humor,60,2007,94.0,80
Kung Fu Panda,PG,sequences of martial arts action,60,2008,91.0,80
Coraline,PG,"thematic elements, scary images, some language and suggestive humor",60,2009,95.0,80
Cars Toons: Mater's Tall Tales,TV-G,Suitable for all ages.,35,2010,74.0,80
Super Why!,TV-Y,Suitable for all ages.,10,2015,68.0,80
Jessie,TV-G,Suitable for all ages.,35,2015,88.0,80
Secret of the Wings,G,General Audiences. Suitable for all ages.,35,2012,65.0,80
The Magic School Bus,TV-Y,Suitable for all ages.,10,1997,81.0,80
Masha and the Bear,TV-Y,Suitable for all ages.,10,2013,81.0,80
Sofia the First,TV-Y,Suitable for all ages.,10,2015,82.0,80
Barbie Life in the Dreamhouse,TV-G,Suitable for all ages.,35,2012,85.0,80
Home,PG,mild action and some rude humor,60,2015,94.0,80
Paddington,PG,mild action and rude humor,60,2014,70.0,80
Minions,PG,action and rude humor,60,2015,96.0,80
Dragons: Race to the Edge,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,88.0,80
Little Einsteins,TV-Y,Suitable for all ages.,10,2007,70.0,80
Hotel Transylvania 2,PG,"some scary images, action and rude humor",60,2015,93.0,80
Walt Disney Animation Studios Short Films Collection,TV-G,Suitable for all ages.,35,2015,84.0,80
Kung Fu Panda 3,PG,martial arts action and some mild rude humor,60,2016,92.0,80
Bunk'd,TV-G,Suitable for all ages.,35,2016,61.0,80
Zootopia,PG,"some thematic elements, rude humor and action",60,2016,97.0,80
The Jungle Book,PG,for some sequences of scary action and peril,60,2016,97.0,80
Open Season: Scared Silly,PG,rude humor and some action,60,2015,72.0,80
The Angry Birds Movie,PG,for rude humor and action,60,2016,92.0,80
Alice Through the Looking Glass,PG,fantasy action/peril and some language,60,2016,96.0,80
The BFG,PG,"for action/peril, some scary moments and brief rude humor",60,2016,97.0,80
Pete's Dragon,PG,"for action, peril and brief language",60,2016,93.0,80
Kubo and the Two Strings,PG,"thematic elements, scary images, action and peril",60,2016,96.0,80
Goldie & Bear,TV-Y,Suitable for all ages.,10,2016,77.0,80
The Real Ghostbusters,TV-Y7,Suitable for children ages 7 and older,41,1990,65.0,80
Cool Runnings,PG,Parental guidance suggested. May not be suitable for children.,60,1993,81.0,80
Anastasia,G,General Audiences. Suitable for all ages.,35,1997,93.0,80
Antz,PG,moderate adult language and intense action,60,1998,80.0,80
The Prince of Egypt,PG,intense scenes dealing with strong content,60,1998,81.0,80
Tarzan,G,General Audiences. Suitable for all ages.,35,1999,95.0,80
The Road to El Dorado,PG,mild thematic material and language,60,2000,91.0,80
Pocahontas II: Journey to a New World,TV-G,Suitable for all ages.,35,1998,64.0,80
The Emperor's New Groove,G,General Audiences. Suitable for all ages.,35,2000,95.0,80
Fantasia,G,General Audiences. Suitable for all ages.,35,1940,61.0,80
An American Tail,G,General Audiences. Suitable for all ages.,35,1986,67.0,80
Balto,G,General Audiences. Suitable for all ages.,35,1995,64.0,80
The Iron Giant,PG,fantasy action and mild language,60,1999,83.0,80
Brother Bear 2,G,General Audiences. Suitable for all ages.,35,2006,57.0,80
The Magic School Bus,TV-Y,Suitable for all ages.,10,1997,81.0,80
Animaniacs,TV-Y7,Suitable for children ages 7 and older,41,1997,72.0,80
The Pirate Fairy,G,General Audiences. Suitable for all ages.,35,2014,57.0,80
Walt Disney Animation Studios Short Films Collection,TV-G,Suitable for all ages.,35,2015,84.0,80
Alice Through the Looking Glass,PG,fantasy action/peril and some language,60,2016,96.0,80
The Real Ghostbusters,TV-Y7,Suitable for children ages 7 and older,41,1990,65.0,80
Flubber,PG,slapstick action and mild language,60,1997,83.0,80
Anastasia,G,General Audiences. Suitable for all ages.,35,1997,93.0,80
An Extremely Goofy Movie,G,General Audiences. Suitable for all ages.,35,1999,67.0,80
An American Tail,G,General Audiences. Suitable for all ages.,35,1986,67.0,80
Scooby-Doo,PG,"some rude humor, language and some scary action",60,2002,86.0,80
FernGully: The Last Rainforest,G,General Audiences. Suitable for all ages.,35,1992,70.0,80
Balto,G,General Audiences. Suitable for all ages.,35,1995,64.0,80
The Iron Giant,PG,fantasy action and mild language,60,1999,83.0,80
Little Einsteins,TV-Y,Suitable for all ages.,10,2007,70.0,80
Hotel Transylvania 2,PG,"some scary images, action and rude humor",60,2015,93.0,80
The Real Ghostbusters,TV-Y7,Suitable for children ages 7 and older,41,1990,65.0,80
Cool Runnings,PG,Parental guidance suggested. May not be suitable for children.,60,1993,81.0,80
Anastasia,G,General Audiences. Suitable for all ages.,35,1997,93.0,80
Antz,PG,moderate adult language and intense action,60,1998,80.0,80
The Prince of Egypt,PG,intense scenes dealing with strong content,60,1998,81.0,80
Tarzan,G,General Audiences. Suitable for all ages.,35,1999,95.0,80
The Road to El Dorado,PG,mild thematic material and language,60,2000,91.0,80
Pocahontas II: Journey to a New World,TV-G,Suitable for all ages.,35,1998,64.0,80
The Emperor's New Groove,G,General Audiences. Suitable for all ages.,35,2000,95.0,80
Fantasia,G,General Audiences. Suitable for all ages.,35,1940,61.0,80
An American Tail,G,General Audiences. Suitable for all ages.,35,1986,67.0,80
Balto,G,General Audiences. Suitable for all ages.,35,1995,64.0,80
The Iron Giant,PG,fantasy action and mild language,60,1999,83.0,80
Brother Bear 2,G,General Audiences. Suitable for all ages.,35,2006,57.0,80
The Magic School Bus,TV-Y,Suitable for all ages.,10,1997,81.0,80
Animaniacs,TV-Y7,Suitable for children ages 7 and older,41,1997,72.0,80
The Pirate Fairy,G,General Audiences. Suitable for all ages.,35,2014,57.0,80
Walt Disney Animation Studios Short Films Collection,TV-G,Suitable for all ages.,35,2015,84.0,80
Alice Through the Looking Glass,PG,fantasy action/peril and some language,60,2016,96.0,80
The Real Ghostbusters,TV-Y7,Suitable for children ages 7 and older,41,1990,65.0,80
Cool Runnings,PG,Parental guidance suggested. May not be suitable for children.,60,1993,81.0,80
Homeward Bound: The Incredible Journey,G,General Audiences. Suitable for all ages.,35,1993,96.0,80
Anastasia,G,General Audiences. Suitable for all ages.,35,1997,93.0,80
Antz,PG,moderate adult language and intense action,60,1998,80.0,80
The Road to El Dorado,PG,mild thematic material and language,60,2000,91.0,80
Fantasia,G,General Audiences. Suitable for all ages.,35,1940,61.0,80
Harry and the Hendersons,PG,Parental guidance suggested. May not be suitable for children.,60,1987,58.0,80
Atlantis: The Lost Empire,PG,action violence,60,2001,96.0,80
FernGully: The Last Rainforest,G,General Audiences. Suitable for all ages.,35,1992,70.0,80
Balto,G,General Audiences. Suitable for all ages.,35,1995,64.0,80
Atlantis: Milo's Return,G,General Audiences. Suitable for all ages.,35,2003,79.0,80
Annie,PG,adult content and mld violence,60,1982,68.0,80
The Iron Giant,PG,fantasy action and mild language,60,1999,83.0,80
Mulan 2,G,General Audiences. Suitable for all ages.,35,2004,85.0,80
Corpse Bride,PG,"some scary images and action, and brief mild language",60,2005,91.0,80
Brother Bear 2,G,General Audiences. Suitable for all ages.,35,2006,57.0,80
Animaniacs,TV-Y7,Suitable for children ages 7 and older,41,1997,72.0,80
The Pirate Fairy,G,General Audiences. Suitable for all ages.,35,2014,57.0,80
Cool Runnings,PG,Parental guidance suggested. May not be suitable for children.,60,1993,81.0,80
Flubber,PG,slapstick action and mild language,60,1997,83.0,80
Anastasia,G,General Audiences. Suitable for all ages.,35,1997,93.0,80
Antz,PG,moderate adult language and intense action,60,1998,80.0,80
The Road to El Dorado,PG,mild thematic material and language,60,2000,91.0,80
An American Tail,G,General Audiences. Suitable for all ages.,35,1986,67.0,80
Harry and the Hendersons,PG,Parental guidance suggested. May not be suitable for children.,60,1987,58.0,80
Baby's Day Out,PG,mild language and comic action,60,1994,71.0,80
Balto,G,General Audiences. Suitable for all ages.,35,1995,64.0,80
Blank Check,PG,Parental guidance suggested. May not be suitable for children.,60,1994,93.0,80
Heavyweights,PG,some rude language and pranks,60,1995,74.0,80
Annie,PG,adult content and mld violence,60,1982,68.0,80
D2: The Mighty Ducks,PG,some mild language and rough hockey action,60,1994,70.0,80
"Honey, I Shrunk the Kids",PG,Parental guidance suggested. May not be suitable for children.,60,1989,80.0,80
The Iron Giant,PG,fantasy action and mild language,60,1999,83.0,80
H2O: Just Add Water,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2009,74.0,80
The Magic School Bus,TV-Y,Suitable for all ages.,10,1997,81.0,80
Pok̩mon: Indigo League,TV-Y,Suitable for all ages.,10,2000,74.0,80
Paddington,PG,mild action and rude humor,60,2014,70.0,80
Dawn of the Croods,TV-Y7,Suitable for children ages 7 and older,41,2017,72.0,80
The BFG,PG,"for action/peril, some scary moments and brief rude humor",60,2016,97.0,80
